Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Year,Total Attendance,Total_Attendances,Total_Over4hrs,Over4hr_Percentage,Total_Emergency,Emergency_Rate,Waited_12hr_Rate,Log_Total_Attendances,Prediction
MSitAE-DECEMBER-2025,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,5187,0,11450,0,0,0,2726,0,48,0,0,0,292,33,1871,0,495,2269,2025.0,16637,16637,2774,16.673679148885014,2366,0.14221313938811084,0.001983530684618621,9.719444514843833,23.853130803604234
MSitAE-DECEMBER-2025,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025.0,489,489,0,0.0,0,0.0,0.0,6.194405391104672,0.13429263603326294
MSitAE-DECEMBER-2025,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025.0,53,53,0,0.0,0,0.0,0.0,3.9889840465642745,0.12502159554819414
MSitAE-DECEMBER-2025,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7283,0,1328,0,0,0,2285,0,0,0,0,0,480,362,1499,0,0,518,2025.0,8611,8611,2285,26.535826268726048,1499,0.17407966554407153,0.042039252119382184,9.060911858484253,33.47512867305731
MSitAE-DECEMBER-2025,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,9136,0,0,0,0,0,2819,0,0,0,0,0,282,258,1402,0,0,27,2025.0,9136,9136,2819,30.85595446584939,1402,0.15345884413309982,0.028239929947460597,9.120087382998621,33.20287127315772
MSitAE-DECEMBER-2025,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11082,0,0,0,0,0,2048,0,0,0,0,0,226,25,1819,0,0,367,2025.0,11082,11082,2048,18.480418696986103,1819,0.1641400469229381,0.0022559104854719364,9.313167681775653,24.467442191774747
MSitAE-DECEMBER-2025,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,6245,0,4200,21,0,2,2793,0,27,10,0,0,884,2,1831,0,0,52,2025.0,10445,10445,2820,26.998563906175203,1831,0.17529918621349927,0.00019147917663954044,9.253974408996244,21.926250013956178
MSitAE-DECEMBER-2025,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9649,1131,3156,0,0,0,3938,0,51,0,0,0,205,204,3522,806,0,1133,2025.0,13936,13936,3989,28.62370838117107,4328,0.3105625717566016,0.014638346727898967,9.54230245311951,32.47944053364739
MSitAE-DECEMBER-2025,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,10450,0,9038,342,0,0,3980,0,31,0,0,0,690,481,1936,0,0,346,2025.0,19488,19488,4011,20.58189655172414,1936,0.0993431855500821,0.02468185550082102,9.877605482822025,29.139320535787792
MSitAE-DECEMBER-2025,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025.0,587,587,0,0.0,0,0.0,0.0,6.376726947898627,0.42178992006560095
MSitAE-DECEMBER-2025,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025.0,4984,4984,0,0.0,0,0.0,0.0,8.514188682395938,3.4980380401781694
MSitAE-DECEMBER-2025,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,4862,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2025.0,4862,4862,35,0.7198683669271905,0,0.0,0.0,8.489410810403786,3.7786748430183628
MSitAE-DECEMBER-2025,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5847,920,130,140,0,0,2414,0,0,32,0,0,400,202,1487,0,0,134,2025.0,6897,6897,2414,35.000724952878066,1487,0.21560098593591417,0.029288096273742206,8.838986793496787,33.77934393910329
MSitAE-DECEMBER-2025,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,9720,0,5730,276,0,970,3923,0,1027,81,0,0,417,680,1886,0,0,496,2025.0,15450,15450,4950,32.038834951456316,1886,0.12207119741100324,0.04401294498381877,9.645429005150419,29.862891431611875
MSitAE-DECEMBER-2025,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8220,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,2025.0,8220,8220,166,2.019464720194647,0,0.0,0.0,9.014447135152134,2.1546226796037757
MSitAE-DECEMBER-2025,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6479,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2025.0,6479,6479,17,0.26238617070535575,0,0.0,0.0,8.776475789346321,2.0451155646753243
MSitAE-DECEMBER-2025,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025.0,306,306,0,0.0,0,0.0,0.0,5.726847747587197,0.13429263603326294
MSitAE-DECEMBER-2025,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025.0,2761,2761,0,0.0,0,0.0,0.0,7.923710333969238,3.162291143565292
MSitAE-DECEMBER-2025,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,7242,0,0,277,0,0,161,0,0,21,0,0,0,0,0,0,2025.0,7242,7242,161,2.223142778238056,0,0.0,0.0,8.887790764195326,2.1546226796037757
MSitAE-DECEMBER-2025,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,2159,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2025.0,2159,2159,3,0.13895321908290875,0,0.0,0.0,7.67786350067821,2.5482630994119946
MSitAE-DECEMBER-2025,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5032,0,0,243,0,0,178,0,0,0,0,0,0,0,0,0,2025.0,5032,5032,178,3.537360890302067,0,0.0,0.0,8.52377150677636,3.225939650486187
MSitAE-DECEMBER-2025,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,7185,0,1569,0,0,0,1900,0,7,0,0,0,329,424,1167,0,0,0,2025.0,8754,8754,1907,21.784327164724697,1167,0.13331048663468129,0.048435001142334934,9.077380244719953,32.63491906420147
MSitAE-DECEMBER-2025,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,6312,0,5380,0,0,0,3035,0,301,0,0,0,786,209,2786,0,0,1247,2025.0,11692,11692,3336,28.532329798152585,2786,0.23828258638385222,0.017875470407115977,9.366745651140318,31.339639228952834
